Item1,Occurrences
cream cheese ,190
rolls/buns,40
other vegetables,5
bottled water,17
canned fruit,1096
brown bread,19
margarine,247
sugar,58
waffles,2674
pudding powder,16242
coffee,64
margarine,247
domestic eggs,242
other vegetables,5
rolls/buns,40
soft cheese,2032
coffee,64
white bread,390
shopping bags,7794
ice cream,173
coffee,64
candles,9549
napkins,1190
long life bakery product,2227
rolls/buns,40
bottled beer,288
sliced cheese,704
oil,1003
detergent,1811
long life bakery product,2227
oil,1003
sweet spreads,1539
rolls/buns,40
whipped/sour cream,266
dishes,8726
rolls/buns,40
shopping bags,7794
soda,75
shopping bags,7794
yogurt,20
shopping bags,7794
margarine,247
Instant food products,2806
shopping bags,7794
chocolate,1354
pasta,113
cling film/bags,439
oil,1003
newspapers,2700
oil,1003
soda,75
sugar,58
chocolate,1354
fruit/vegetable juice,67
long life bakery product,2227
mustard,1594
white bread,390
napkins,1190
fruit/vegetable juice,67
soda,75
specialty bar,3822
shopping bags,7794
soda,75
bottled water,17
brown bread,19
shopping bags,7794
bottled beer,288
hygiene articles,3410
sauces,1263
frozen meals,59
fruit/vegetable juice,67
canned beer,597
bottled water,17
soda,75
female sanitary products,7842
hard cheese,189
waffles,2674
salty snack,2338
popcorn,873
margarine,247
butter,13
shopping bags,7794
soda,75
sugar,58
white wine,381
candles,9549
whole milk,6
bottled water,17
soda,75
newspapers,2700
sliced cheese,704
brown bread,19
soda,75
whole milk,6
rice,8479
margarine,247
napkins,1190
soda,75
canned fish,6376
UHT-milk,225
napkins,1190
white bread,390
chocolate,1354
seasonal products,3252
artif. sweetener,769
canned beer,597
newspapers,2700
butter,13
shopping bags,7794
canned beer,597
soda,75
fruit/vegetable juice,67
whole milk,6
curd cheese,48
mustard,1594
jam,6530
brown bread,19
curd,102
newspapers,2700
detergent,1811
meat spreads,2442
whole milk,6
bottled water,17
candy,4785
whipped/sour cream,266
dishes,8726
shopping bags,7794
fruit/vegetable juice,67
meat spreads,2442
hygiene articles,3410
white bread,390
frozen meals,59
canned fish,6376
canned fish,6376
fruit/vegetable juice,67
fruit/vegetable juice,67
white wine,381
domestic eggs,242
cake bar,5952
hard cheese,189
soda,75
fruit/vegetable juice,67
brandy,2983
yogurt,20
chewing gum,1052
shopping bags,7794
male cosmetics,6287
flower (seeds),8362
cereals,2430
frozen meals,59
other vegetables,5
rolls/buns,40
domestic eggs,242
candles,9549
yogurt,20
long life bakery product,2227
kitchen towels,12689
ice cream,173
cream cheese ,190
pasta,113
misc. beverages,169
specialty bar,3822
fruit/vegetable juice,67
roll products ,2305
butter milk,14
sauces,1263
long life bakery product,2227
bottled water,17
sliced cheese,704
rice,8479
soda,75
margarine,247
salt,258
long life bakery product,2227
root vegetables,22
soft cheese,2032
seasonal products,3252
yogurt,20
soda,75
specialty chocolate,733
processed cheese,1225
fruit/vegetable juice,67
long life bakery product,2227
chocolate,1354
chocolate,1354
whole milk,6
fruit/vegetable juice,67
whole milk,6
frozen fish,729
waffles,2674
rolls/buns,40
soups,1551
chocolate,1354
seasonal products,3252
margarine,247
yogurt,20
canned beer,597
pot plants,5006
rolls/buns,40
shopping bags,7794
curd,102
specialty bar,3822
butter milk,14
whipped/sour cream,266
cream cheese ,190
waffles,2674
bottled water,17
newspapers,2700
pastry,25
newspapers,2700
pastry,25
fruit/vegetable juice,67
rolls/buns,40
long life bakery product,2227
mustard,1594
baking powder,305
dish cleaner,300
oil,1003
rolls/buns,40
processed cheese,1225
cream cheese ,190
frozen fish,729
margarine,247
pastry,25
flower (seeds),8362
dessert,135
butter,13
newspapers,2700
brown bread,19
domestic eggs,242
fruit/vegetable juice,67
pickled vegetables,201
salty snack,2338
bottled beer,288
pastry,25
newspapers,2700
soda,75
whipped/sour cream,266
sauces,1263
bottled water,17
bottled water,17
soft cheese,2032
butter milk,14
candy,4785
flour,57
soda,75
pot plants,5006
newspapers,2700
ready soups,18270
pastry,25
yogurt,20
shopping bags,7794
chocolate,1354
yogurt,20
dessert,135
whipped/sour cream,266
whipped/sour cream,266
whipped/sour cream,266
frozen fish,729
detergent,1811
hard cheese,189
pasta,113
whole milk,6
candles,9549
shopping bags,7794
hygiene articles,3410
roll products ,2305
soda,75
candy,4785
soda,75
detergent,1811
frozen vegetables,430
processed cheese,1225
butter,13
bottled water,17
waffles,2674
pot plants,5006
shopping bags,7794
UHT-milk,225
soda,75
instant coffee,3756
rolls/buns,40
whipped/sour cream,266
ketchup,10127
specialty fat,1843
preservation products,31545
chewing gum,1052
butter milk,14
other vegetables,5
fruit/vegetable juice,67
candy,4785
oil,1003
whipped/sour cream,266
UHT-milk,225
rolls/buns,40
long life bakery product,2227
whole milk,6
onions,229
mustard,1594
curd,102
pastry,25
chocolate,1354
whole milk,6
rum,9402
fruit/vegetable juice,67
hard cheese,189
soda,75
ketchup,10127
white bread,390
root vegetables,22
other vegetables,5
condensed milk,160
sweet spreads,1539
soda,75
waffles,2674
whipped/sour cream,266
pot plants,5006
softener,4148
whole milk,6
bottled water,17
whipped/sour cream,266
pastry,25
cat food,883
rolls/buns,40
napkins,1190
domestic eggs,242
whipped/sour cream,266
brown bread,19
yogurt,20
rolls/buns,40
yogurt,20
brown bread,19
pastry,25
waffles,2674
frozen vegetables,430
cream cheese ,190
frozen vegetables,430
whipped/sour cream,266
margarine,247
pot plants,5006
onions,229
white bread,390
salty snack,2338
whole milk,6
soda,75
white bread,390
specialty chocolate,733
butter,13
root vegetables,22
shopping bags,7794
bottled water,17
beverages,126
shopping bags,7794
other vegetables,5
white bread,390
soups,1551
curd,102
bottled water,17
sauces,1263
whipped/sour cream,266
light bulbs,10793
soda,75
pastry,25
specialty chocolate,733
soda,75
dessert,135
whole milk,6
soda,75
cling film/bags,439
brown bread,19
sugar,58
whipped/sour cream,266
pastry,25
whipped/sour cream,266
pastry,25
fruit/vegetable juice,67
semi-finished bread,2936
make up remover,19023
soft cheese,2032
butter,13
whole milk,6
dish cleaner,300
shopping bags,7794
pastry,25
rolls/buns,40
rolls/buns,40
hygiene articles,3410
white bread,390
brown bread,19
specialty chocolate,733
chocolate,1354
chewing gum,1052
whipped/sour cream,266
frozen vegetables,430
oil,1003
newspapers,2700
jam,6530
misc. beverages,169
cat food,883
shopping bags,7794
napkins,1190
oil,1003
pickled vegetables,201
sugar,58
cat food,883
bottled beer,288
brown bread,19
frozen vegetables,430
shopping bags,7794
cake bar,5952
soda,75
shopping bags,7794
waffles,2674
rolls/buns,40
zwieback,1081
light bulbs,10793
newspapers,2700
sweet spreads,1539
hygiene articles,3410
liquor (appetizer),8273
fruit/vegetable juice,67
specialty chocolate,733
newspapers,2700
canned beer,597
canned vegetables,3421
soda,75
white wine,381
shopping bags,7794
bottled water,17
soda,75
shopping bags,7794
liquor,2591
sliced cheese,704
salt,258
napkins,1190
napkins,1190
spread cheese,554
zwieback,1081
yogurt,20
bottled water,17
yogurt,20
pet care,377
cream cheese ,190
soda,75
UHT-milk,225
whipped/sour cream,266
pickled vegetables,201
processed cheese,1225
curd cheese,48
salty snack,2338
yogurt,20
pickled vegetables,201
sugar,58
cream cheese ,190
fruit/vegetable juice,67
sugar,58
misc. beverages,169
domestic eggs,242
white bread,390
sparkling wine,734
hard cheese,189
other vegetables,5
pastry,25
whipped/sour cream,266
canned beer,597
shopping bags,7794
rolls/buns,40
yogurt,20
salt,258
yogurt,20
brown bread,19
male cosmetics,6287
newspapers,2700
rolls/buns,40
soda,75
vinegar,584
soda,75
abrasive cleaner,3085
frozen vegetables,430
chocolate,1354
shopping bags,7794
rolls/buns,40
salt,258
packaged fruit/vegetables,39
fruit/vegetable juice,67
domestic eggs,242
white bread,390
pastry,25
long life bakery product,2227
candles,9549
candy,4785
canned beer,597
oil,1003
dishes,8726
pickled vegetables,201
shopping bags,7794
ice cream,173
rolls/buns,40
soda,75
rolls/buns,40
cereals,2430
newspapers,2700
rolls/buns,40
root vegetables,22
curd,102
brown bread,19
specialty cheese,312
shopping bags,7794
frozen vegetables,430
soda,75
soda,75
bottled water,17
curd,102
sugar,58
whole milk,6
shopping bags,7794
cream cheese ,190
bottled beer,288
flour,57
ice cream,173
ice cream,173
coffee,64
vinegar,584
onions,229
bottled water,17
white bread,390
white bread,390
dessert,135
other vegetables,5
soda,75
canned vegetables,3421
rice,8479
dessert,135
chocolate,1354
newspapers,2700
chocolate,1354
oil,1003
white bread,390
canned vegetables,3421
butter,13
shopping bags,7794
bottled water,17
canned vegetables,3421
cat food,883
soups,1551
waffles,2674
whole milk,6
canned vegetables,3421
other vegetables,5
cake bar,5952
frozen dessert,582
frozen vegetables,430
cling film/bags,439
specialty chocolate,733
light bulbs,10793
long life bakery product,2227
pastry,25
detergent,1811
kitchen towels,12689
specialty chocolate,733
sugar,58
chewing gum,1052
UHT-milk,225
frozen vegetables,430
cat food,883
whipped/sour cream,266
soda,75
mustard,1594
hard cheese,189
whole milk,6
ready soups,18270
rolls/buns,40
whole milk,6
whipped/sour cream,266
frozen vegetables,430
specialty chocolate,733
yogurt,20
whole milk,6
fruit/vegetable juice,67
rolls/buns,40
brown bread,19
rubbing alcohol,21540
instant coffee,3756
brown bread,19
domestic eggs,242
domestic eggs,242
sliced cheese,704
herbs,62
fruit/vegetable juice,67
soap,5035
margarine,247
pastry,25
hard cheese,189
domestic eggs,242
yogurt,20
sliced cheese,704
waffles,2674
rolls/buns,40
brown bread,19
liquor (appetizer),8273
softener,4148
salty snack,2338
candy,4785
curd,102
rice,8479
whole milk,6
pastry,25
other vegetables,5
processed cheese,1225
whole milk,6
rolls/buns,40
other vegetables,5
soda,75
butter milk,14
white bread,390
processed cheese,1225
whole milk,6
other vegetables,5
rolls/buns,40
zwieback,1081
shopping bags,7794
yogurt,20
bottled beer,288
specialty fat,1843
photo/film,2198
brown bread,19
other vegetables,5
frozen vegetables,430
yogurt,20
soda,75
pickled vegetables,201
soda,75
chocolate,1354
whole milk,6
cocoa drinks,11025
shopping bags,7794
chewing gum,1052
root vegetables,22
whole milk,6
sliced cheese,704
soda,75
zwieback,1081
margarine,247
male cosmetics,6287
frozen fish,729
specialty chocolate,733
soda,75
cake bar,5952
bottled beer,288
white bread,390
frozen meals,59
specialty chocolate,733
yogurt,20
oil,1003
cream cheese ,190
bottled water,17
domestic eggs,242
hygiene articles,3410
flour,57
long life bakery product,2227
domestic eggs,242
popcorn,873
canned beer,597
soda,75
domestic eggs,242
white bread,390
chocolate,1354
cat food,883
canned beer,597
bottled water,17
misc. beverages,169
pastry,25
soft cheese,2032
domestic eggs,242
long life bakery product,2227
soda,75
fruit/vegetable juice,67
bottled beer,288
male cosmetics,6287
kitchen towels,12689
beverages,126
hard cheese,189
rolls/buns,40
newspapers,2700
candles,9549
newspapers,2700
baking powder,305
waffles,2674
pastry,25
onions,229
soda,75
soda,75
soda,75
canned beer,597
frozen fish,729
pastry,25
bottled beer,288
pastry,25
red/blush wine,49
yogurt,20
frozen vegetables,430
dishes,8726
bottled water,17
sugar,58
curd,102
shopping bags,7794
brown bread,19
bottled water,17
frozen potato products,982
soda,75
newspapers,2700
fruit/vegetable juice,67
salt,258
chocolate,1354
frozen vegetables,430
hard cheese,189
candy,4785
newspapers,2700
canned fish,6376
canned beer,597
pastry,25
specialty chocolate,733
soups,1551
shopping bags,7794
rolls/buns,40
bottled water,17
bottled water,17
soups,1551
rolls/buns,40
napkins,1190
pastry,25
pastry,25
pickled vegetables,201
whipped/sour cream,266
curd,102
shopping bags,7794
sweet spreads,1539
rolls/buns,40
canned beer,597
canned beer,597
shopping bags,7794
red/blush wine,49
frozen vegetables,430
other vegetables,5
margarine,247
oil,1003
salty snack,2338
mustard,1594
salty snack,2338
brown bread,19
bottled beer,288
long life bakery product,2227
salty snack,2338
napkins,1190
abrasive cleaner,3085
liquor,2591
waffles,2674
chewing gum,1052
salty snack,2338
processed cheese,1225
canned fish,6376
cat food,883
salty snack,2338
newspapers,2700
margarine,247
vinegar,584
canned beer,597
candy,4785
chocolate,1354
flour,57
rolls/buns,40
newspapers,2700
fruit/vegetable juice,67
frozen fish,729
pastry,25
rolls/buns,40
yogurt,20
yogurt,20
bottled water,17
specialty bar,3822
bottled water,17
cling film/bags,439
butter,13
canned vegetables,3421
yogurt,20
tropical fruit,3
dessert,135
long life bakery product,2227
napkins,1190
bottled beer,288
cream cheese ,190
packaged fruit/vegetables,39
margarine,247
frozen vegetables,430
cling film/bags,439
coffee,64
semi-finished bread,2936
domestic eggs,242
Instant food products,2806
rolls/buns,40
soft cheese,2032
curd,102
bottled water,17
roll products ,2305
other vegetables,5
house keeping products,9104
whole milk,6
flower (seeds),8362
butter milk,14
specialty chocolate,733
dishes,8726
canned beer,597
specialty cheese,312
pastry,25
brown bread,19
brandy,2983
coffee,64
long life bakery product,2227
white bread,390
bottled water,17
hygiene articles,3410
yogurt,20
whole milk,6
whole milk,6
salty snack,2338
specialty bar,3822
pet care,377
shopping bags,7794
long life bakery product,2227
napkins,1190
pasta,113
brown bread,19
canned fruit,1096
sugar,58
whipped/sour cream,266
soda,75
dessert,135
canned beer,597
shopping bags,7794
napkins,1190
rolls/buns,40
specialty chocolate,733
curd cheese,48
misc. beverages,169
ice cream,173
soda,75
yogurt,20
butter,13
shopping bags,7794
chewing gum,1052
pickled vegetables,201
newspapers,2700
red/blush wine,49
shopping bags,7794
napkins,1190
brown bread,19
hygiene articles,3410
zwieback,1081
brown bread,19
chocolate,1354
white bread,390
pickled vegetables,201
bottled water,17
specialty bar,3822
shopping bags,7794
pastry,25
fruit/vegetable juice,67
bottled water,17
soda,75
newspapers,2700
rolls/buns,40
newspapers,2700
rolls/buns,40
canned beer,597
beverages,126
other vegetables,5
hygiene articles,3410
napkins,1190
yogurt,20
yogurt,20
herbs,62
chocolate,1354
soda,75
pastry,25
brown bread,19
white bread,390
whipped/sour cream,266
chocolate,1354
shopping bags,7794
dessert,135
berries,30
specialty fat,1843
bottled water,17
sugar,58
waffles,2674
coffee,64
bottled water,17
canned fish,6376
ketchup,10127
chocolate,1354
frozen fish,729
chocolate marshmallow,7578
waffles,2674
shopping bags,7794
white bread,390
newspapers,2700
fruit/vegetable juice,67
shopping bags,7794
seasonal products,3252
candy,4785
shopping bags,7794
dental care,2148
long life bakery product,2227
soda,75
pastry,25
long life bakery product,2227
canned beer,597
coffee,64
red/blush wine,49
sugar,58
domestic eggs,242
margarine,247
whipped/sour cream,266
coffee,64
soda,75
whole milk,6
soda,75
instant coffee,3756
other vegetables,5
coffee,64
white wine,381
pastry,25
canned fruit,1096
domestic eggs,242
yogurt,20
herbs,62
napkins,1190
rolls/buns,40
UHT-milk,225
whole milk,6
hygiene articles,3410
shopping bags,7794
cream cheese ,190
sparkling wine,734
candy,4785
specialty chocolate,733
tea,9414
dog food,1113
seasonal products,3252
margarine,247
dish cleaner,300
spices,8145
newspapers,2700
sliced cheese,704
napkins,1190
bottled beer,288
rolls/buns,40
white bread,390
cream cheese ,190
hygiene articles,3410
cat food,883
candy,4785
soda,75
shopping bags,7794
napkins,1190
soda,75
soda,75
frozen dessert,582
artif. sweetener,769
soda,75
specialty bar,3822
fruit/vegetable juice,67
soups,1551
photo/film,2198
pudding powder,16242
herbs,62
canned fish,6376
dishes,8726
bottled water,17
onions,229
whole milk,6
spices,8145
pot plants,5006
cooking chocolate,5058
soda,75
frozen potato products,982
soda,75
bottled water,17
yogurt,20
curd cheese,48
yogurt,20
processed cheese,1225
bottled beer,288
pastry,25
newspapers,2700
pickled vegetables,201
yogurt,20
chocolate,1354
other vegetables,5
red/blush wine,49
soda,75
brown bread,19
margarine,247
rolls/buns,40
cat food,883
dishes,8726
spread cheese,554
soap,5035
whole milk,6
whipped/sour cream,266
yogurt,20
rolls/buns,40
newspapers,2700
soda,75
hard cheese,189
soda,75
other vegetables,5
bottled water,17
cat food,883
rolls/buns,40
candy,4785
oil,1003
canned fish,6376
packaged fruit/vegetables,39
long life bakery product,2227
fruit/vegetable juice,67
bottled water,17
long life bakery product,2227
soda,75
pasta,113
female sanitary products,7842
bottled beer,288
specialty chocolate,733
dish cleaner,300
brown bread,19
chocolate,1354
soda,75
detergent,1811
coffee,64
specialty bar,3822
napkins,1190
whipped/sour cream,266
fruit/vegetable juice,67
bottled beer,288
domestic eggs,242
butter milk,14
cat food,883
pastry,25
hygiene articles,3410
whipped/sour cream,266
yogurt,20
onions,229
rolls/buns,40
misc. beverages,169
fruit/vegetable juice,67
frozen vegetables,430
yogurt,20
cake bar,5952
rolls/buns,40
pot plants,5006
rolls/buns,40
UHT-milk,225
herbs,62
bottled water,17
shopping bags,7794
whole milk,6
whole milk,6
pasta,113
bottled beer,288
shopping bags,7794
root vegetables,22
rolls/buns,40
whipped/sour cream,266
sauces,1263
margarine,247
whipped/sour cream,266
frozen vegetables,430
bottled water,17
frozen vegetables,430
pastry,25
brown bread,19
rolls/buns,40
soda,75
rolls/buns,40
whipped/sour cream,266
brown bread,19
semi-finished bread,2936
white wine,381
coffee,64
frozen dessert,582
whole milk,6
chocolate marshmallow,7578
brandy,2983
curd cheese,48
hygiene articles,3410
newspapers,2700
other vegetables,5
processed cheese,1225
oil,1003
butter,13
whole milk,6
soda,75
frozen vegetables,430
detergent,1811
whipped/sour cream,266
butter,13
domestic eggs,242
newspapers,2700
chewing gum,1052
snack products,1921
soda,75
napkins,1190
onions,229
shopping bags,7794
chocolate,1354
other vegetables,5
dish cleaner,300
ice cream,173
frozen vegetables,430
bottled water,17
curd,102
bottled water,17
domestic eggs,242
cake bar,5952
soft cheese,2032
rolls/buns,40
mayonnaise,2099
sugar,58
shopping bags,7794
bottled water,17
newspapers,2700
frozen vegetables,430
candy,4785
Instant food products,2806
mustard,1594
whole milk,6
bottled water,17
condensed milk,160
bottled water,17
pastry,25
pastry,25
other vegetables,5
yogurt,20
soda,75
butter,13
other vegetables,5
rolls/buns,40
UHT-milk,225
yogurt,20
chewing gum,1052
whole milk,6
frozen fish,729
white bread,390
other vegetables,5
yogurt,20
yogurt,20
other vegetables,5
root vegetables,22
curd,102
long life bakery product,2227
whole milk,6
brown bread,19
rolls/buns,40
yogurt,20
butter,13
salty snack,2338
roll products ,2305
dishes,8726
fruit/vegetable juice,67
specialty chocolate,733
cream cheese ,190
sliced cheese,704
oil,1003
detergent,1811
white bread,390
other vegetables,5
whole milk,6
frozen meals,59
shopping bags,7794
yogurt,20
bottled water,17
pastry,25
yogurt,20
popcorn,873
sliced cheese,704
curd,102
margarine,247
napkins,1190
domestic eggs,242
bottled beer,288
liquor,2591
whole milk,6
other vegetables,5
canned vegetables,3421
chocolate,1354
bottled beer,288
whole milk,6
chocolate,1354
whipped/sour cream,266
root vegetables,22
chocolate,1354
specialty chocolate,733
canned fruit,1096
soda,75
rolls/buns,40
salty snack,2338
rolls/buns,40
sliced cheese,704
pastry,25
newspapers,2700
soda,75
whole milk,6
pastry,25
other vegetables,5
beverages,126
other vegetables,5
fruit/vegetable juice,67
misc. beverages,169
chewing gum,1052
canned fish,6376
yogurt,20
other vegetables,5
newspapers,2700
long life bakery product,2227
cling film/bags,439
coffee,64
misc. beverages,169
cling film/bags,439
bottled water,17
baking powder,305
root vegetables,22
pastry,25
pickled vegetables,201
brown bread,19
napkins,1190
curd,102
yogurt,20
rolls/buns,40
cat food,883
cake bar,5952
berries,30
whipped/sour cream,266
other vegetables,5
mayonnaise,2099
cat food,883
butter milk,14
pip fruit,4
semi-finished bread,2936
margarine,247
soda,75
long life bakery product,2227
waffles,2674
oil,1003
whole milk,6
canned vegetables,3421
rolls/buns,40
frozen fish,729
curd,102
sweet spreads,1539
waffles,2674
pastry,25
cling film/bags,439
long life bakery product,2227
flour,57
salty snack,2338
domestic eggs,242
rum,9402
long life bakery product,2227
specialty chocolate,733
pudding powder,16242
oil,1003
newspapers,2700
waffles,2674
butter,13
sugar,58
salty snack,2338
root vegetables,22
onions,229
newspapers,2700
other vegetables,5
whole milk,6
margarine,247
coffee,64
butter milk,14
coffee,64
dessert,135
bottled beer,288
dog food,1113
cream cheese ,190
pastry,25
whole milk,6
fruit/vegetable juice,67
soft cheese,2032
bottled water,17
popcorn,873
yogurt,20
soft cheese,2032
rolls/buns,40
red/blush wine,49
roll products ,2305
male cosmetics,6287
misc. beverages,169
sliced cheese,704
other vegetables,5
sugar,58
tropical fruit,3
dishes,8726
yogurt,20
rolls/buns,40
curd,102
brown bread,19
coffee,64
rolls/buns,40
domestic eggs,242
long life bakery product,2227
frozen vegetables,430
newspapers,2700
condensed milk,160
oil,1003
frozen vegetables,430
other vegetables,5
ice cream,173
canned beer,597
rolls/buns,40
margarine,247
soda,75
pastry,25
mustard,1594
other vegetables,5
bottled beer,288
shopping bags,7794
cake bar,5952
whole milk,6
napkins,1190
cocoa drinks,11025
soda,75
flour,57
napkins,1190
soda,75
fruit/vegetable juice,67
white wine,381
whole milk,6
rolls/buns,40
pasta,113
white wine,381
candy,4785
rolls/buns,40
fruit/vegetable juice,67
whipped/sour cream,266
margarine,247
soda,75
long life bakery product,2227
brown bread,19
rolls/buns,40
soda,75
canned fish,6376
shopping bags,7794
chocolate,1354
chewing gum,1052
seasonal products,3252
detergent,1811
shopping bags,7794
chocolate,1354
cling film/bags,439
frozen meals,59
specialty bar,3822
beverages,126
butter,13
whipped/sour cream,266
waffles,2674
frozen vegetables,430
frozen meals,59
curd,102
fruit/vegetable juice,67
napkins,1190
kitchen towels,12689
bottled water,17
white wine,381
bottled water,17
brown bread,19
newspapers,2700
bottled beer,288
other vegetables,5
brown bread,19
white bread,390
Instant food products,2806
newspapers,2700
pet care,377
processed cheese,1225
onions,229
curd,102
cake bar,5952
shopping bags,7794
pastry,25
rolls/buns,40
pet care,377
pasta,113
ready soups,18270
liquor,2591
pickled vegetables,201
whipped/sour cream,266
domestic eggs,242
soda,75
shopping bags,7794
cat food,883
sugar,58
white bread,390
rolls/buns,40
baking powder,305
whole milk,6
pet care,377
shopping bags,7794
detergent,1811
brown bread,19
brown bread,19
cleaner,166
butter milk,14
coffee,64
sugar,58
coffee,64
vinegar,584
brown bread,19
butter milk,14
waffles,2674
beverages,126
napkins,1190
specialty chocolate,733
Instant food products,2806
canned vegetables,3421
whipped/sour cream,266
cream cheese ,190
rolls/buns,40
frozen vegetables,430
rolls/buns,40
waffles,2674
cat food,883
curd cheese,48
cream cheese ,190
oil,1003
waffles,2674
pastry,25
napkins,1190
red/blush wine,49
butter,13
other vegetables,5
yogurt,20
oil,1003
soda,75
mayonnaise,2099
sliced cheese,704
domestic eggs,242
newspapers,2700
fruit/vegetable juice,67
yogurt,20
coffee,64
margarine,247
UHT-milk,225
cream cheese ,190
shopping bags,7794
rolls/buns,40
fruit/vegetable juice,67
soda,75
grapes,70
frozen dessert,582
flour,57
sweet spreads,1539
napkins,1190
soda,75
pastry,25
soda,75
hard cheese,189
semi-finished bread,2936
napkins,1190
detergent,1811
pickled vegetables,201
flower (seeds),8362
specialty chocolate,733
margarine,247
candles,9549
detergent,1811
rice,8479
red/blush wine,49
butter,13
soda,75
softener,4148
cling film/bags,439
pickled vegetables,201
red/blush wine,49
dishes,8726
male cosmetics,6287
hard cheese,189
newspapers,2700
frozen vegetables,430
candles,9549
frozen vegetables,430
fruit/vegetable juice,67
chocolate,1354
whole milk,6
shopping bags,7794
brown bread,19
whipped/sour cream,266
tea,9414
beverages,126
house keeping products,9104
rolls/buns,40
frozen dessert,582
newspapers,2700
red/blush wine,49
butter,13
rolls/buns,40
rolls/buns,40
spices,8145
sugar,58
flour,57
domestic eggs,242
pastry,25
whipped/sour cream,266
rolls/buns,40
sugar,58
mustard,1594
canned beer,597
specialty cheese,312
soda,75
soft cheese,2032
candy,4785
dishes,8726
roll products ,2305
misc. beverages,169
fruit/vegetable juice,67
specialty bar,3822
cake bar,5952
white bread,390
napkins,1190
curd cheese,48
coffee,64
waffles,2674
specialty fat,1843
shopping bags,7794
shopping bags,7794
coffee,64
newspapers,2700
hygiene articles,3410
soda,75
margarine,247
brandy,2983
soda,75
rolls/buns,40
specialty bar,3822
rolls/buns,40
rice,8479
rolls/buns,40
rum,9402
whipped/sour cream,266
flour,57
soda,75
house keeping products,9104
frozen fish,729
hygiene articles,3410
salty snack,2338
coffee,64
domestic eggs,242
soda,75
kitchen towels,12689
whipped/sour cream,266
margarine,247
frozen meals,59
butter,13
rolls/buns,40
sugar,58
soda,75
bottled beer,288
specialty bar,3822
whole milk,6
newspapers,2700
rolls/buns,40
kitchen towels,12689
whipped/sour cream,266
semi-finished bread,2936
canned fish,6376
rolls/buns,40
roll products ,2305
fruit/vegetable juice,67
long life bakery product,2227
abrasive cleaner,3085
waffles,2674
bottled water,17
canned beer,597
fruit/vegetable juice,67
shopping bags,7794
coffee,64
coffee,64
shopping bags,7794
vinegar,584
frozen dessert,582
newspapers,2700
hygiene articles,3410
shopping bags,7794
red/blush wine,49
hygiene articles,3410
candy,4785
shopping bags,7794
bottled water,17
rolls/buns,40
margarine,247
butter milk,14
hygiene articles,3410
packaged fruit/vegetables,39
seasonal products,3252
ice cream,173
curd,102
bottled water,17
margarine,247
canned fruit,1096
butter,13
frozen vegetables,430
hygiene articles,3410
long life bakery product,2227
whipped/sour cream,266
mustard,1594
hygiene articles,3410
hard cheese,189
margarine,247
soft cheese,2032
chocolate,1354
frozen vegetables,430
pasta,113
shopping bags,7794
flour,57
rolls/buns,40
spread cheese,554
instant coffee,3756
whipped/sour cream,266
artif. sweetener,769
dishes,8726
butter,13
shopping bags,7794
domestic eggs,242
other vegetables,5
yogurt,20
dessert,135
beverages,126
newspapers,2700
brandy,2983
whole milk,6
soda,75
dishes,8726
newspapers,2700
bottled beer,288
shopping bags,7794
spread cheese,554
popcorn,873
misc. beverages,169
dish cleaner,300
white bread,390
canned beer,597
soda,75
shopping bags,7794
pastry,25
rice,8479
coffee,64
newspapers,2700
shopping bags,7794
dessert,135
chewing gum,1052
coffee,64
canned vegetables,3421
pastry,25
white bread,390
fruit/vegetable juice,67
whipped/sour cream,266
yogurt,20
bottled beer,288
chocolate,1354
domestic eggs,242
cream cheese ,190
detergent,1811
butter,13
margarine,247
baking powder,305
rolls/buns,40
cream,7562
pot plants,5006
butter milk,14
curd,102
salty snack,2338
cat food,883
newspapers,2700
dishes,8726
domestic eggs,242
yogurt,20
candy,4785
fruit/vegetable juice,67
frozen vegetables,430
whole milk,6
white bread,390
beverages,126
misc. beverages,169
rolls/buns,40
long life bakery product,2227
pastry,25
pickled vegetables,201
sauces,1263
sugar,58
hard cheese,189
domestic eggs,242
brown bread,19
curd,102
shopping bags,7794
margarine,247
liquor (appetizer),8273
yogurt,20
soups,1551
shopping bags,7794
soda,75
butter,13
rolls/buns,40
specialty chocolate,733
instant coffee,3756
domestic eggs,242
whole milk,6
waffles,2674
salty snack,2338
newspapers,2700
sugar,58
salty snack,2338
flower (seeds),8362
yogurt,20
pastry,25
domestic eggs,242
oil,1003
canned beer,597
syrup,10250
canned beer,597
flour,57
white bread,390
flour,57
softener,4148
rolls/buns,40
whipped/sour cream,266
margarine,247
sugar,58
frozen fish,729
citrus fruit,2
white bread,390
soda,75
butter,13
cat food,883
pastry,25
soda,75
whole milk,6
shopping bags,7794
frozen vegetables,430
dog food,1113
dessert,135
flower (seeds),8362
male cosmetics,6287
margarine,247
baking powder,305
processed cheese,1225
onions,229
white bread,390
sugar,58
softener,4148
rolls/buns,40
shopping bags,7794
shopping bags,7794
chocolate,1354
soda,75
butter,13
rolls/buns,40
salt,258
soups,1551
hard cheese,189
misc. beverages,169
whipped/sour cream,266
shopping bags,7794
domestic eggs,242
newspapers,2700
hygiene articles,3410
frozen meals,59
rolls/buns,40
whole milk,6
fruit/vegetable juice,67
yogurt,20
dish cleaner,300
cream cheese ,190
whole milk,6
pastry,25
whole milk,6
whipped/sour cream,266
soda,75
light bulbs,10793
